neuron,mean_still,mean_move,cohen_d,pval,auc,label,p_adj,sig,unit_name
36,0.270776783639505,0.5233973874927724,-0.192580321243025,3.089950926940089e-10,0.44089197980996586,,3.840980666126916e-10,True,<HDF5 object reference>
37,5.412447551974162,10.78015564730665,-0.636539154310692,9.070740616158062e-117,0.3182857833867701,suppressed,2.577242175067132e-116,True,<HDF5 object reference>
38,0.38363227415222073,0.984547766302225,-0.34840493779323267,4.3630943457841425e-33,0.39149182812166633,,6.56297384786018e-33,True,<HDF5 object reference>
39,4.477041855227537,8.842177726527954,-0.6464090825855142,5.402260199109622e-100,0.31314650196259525,suppressed,1.381435108058032e-99,True,<HDF5 object reference>
40,1.3758037095917983,1.832211964293609,-0.17058497417441204,9.69339319709309e-07,0.4313522398136484,,1.1266995988828982e-06,True,<HDF5 object reference>
41,1.3879913125034309,3.9358541250936443,-0.6367203819222041,2.0196657614446714e-107,0.2844665262794865,suppressed,5.3958234522178535e-107,True,<HDF5 object reference>
42,1.8384246118300107,2.485757882512947,-0.20990832833610035,1.322631841759548e-10,0.43467283259632494,,1.6556020956290846e-10,True,<HDF5 object reference>
43,1.032968495874774,1.4645263731389362,-0.15380628481848146,8.612829694240023e-08,0.46984095379498403,,1.0346956478315197e-07,True,<HDF5 object reference>
44,1.4014470078985841,2.0429956628815584,-0.23149009701602702,2.4730085607529374e-12,0.42930324215473376,,3.1619180883912556e-12,True,<HDF5 object reference>
45,3.426391852084492,3.3269972544939534,0.02323160883907187,0.48339644771085066,0.5463423829968814,,0.4942161341876842,False,<HDF5 object reference>
46,2.4023136263485108,6.282414409789002,-0.8379016444325894,1.3045578583383657e-156,0.25729316759657345,suppressed,5.98758606775814e-156,True,<HDF5 object reference>
47,3.9516000417357806,8.207731237995194,-0.7176535059175798,9.51409334097117e-116,0.29952728928040123,suppressed,2.660972981302874e-115,True,<HDF5 object reference>
48,2.717593489128769,12.448047572361366,-1.3639679837351235,0.0,0.14598877243540093,suppressed,0.0,True,<HDF5 object reference>
49,1.5203472482982894,3.275018798998173,-0.49220815497548603,2.8568723692712383e-65,0.343623684418192,suppressed,5.946280861622693e-65,True,<HDF5 object reference>
50,2.266193220282338,9.03048270353134,-1.0272188124925699,2.146472457539307e-276,0.20859841034169327,suppressed,4.0585472221606446e-275,True,<HDF5 object reference>
51,1.9188480601853768,6.384732742579863,-0.9489771114694926,1.9022879028483003e-210,0.21782348479755895,suppressed,1.6214739743325987e-209,True,<HDF5 object reference>
52,1.0098445233210809,3.40562790502057,-0.6828411754185016,2.974818466609364e-138,0.28168371089788363,suppressed,1.1093593865064086e-137,True,<HDF5 object reference>
53,2.5219220764870194,7.7371814569138335,-0.9383562708742875,5.29868478404142e-211,0.23044605566580642,suppressed,4.742322881717071e-210,True,<HDF5 object reference>
54,3.092356315642254,7.2953800225492165,-0.7772024676625021,1.571883813351058e-150,0.27562611610731,suppressed,6.394709149769077e-150,True,<HDF5 object reference>
